Volatge (V),Frequency,Current
3.034758554,8043932,2011
3.029870968,8044340,2011
3.027427175,8044436,2010
3.029870968,8044508,2009
3.027427175,8045180,2008
3.027427175,8044844,2007
3.024983382,8045996,2007
3.022539589,8046308,2006
3.024983382,8046860,2005
3.022539589,8046572,2004
3.022539589,8046572,2003
3.022539589,8046812,2003
3.017652004,8046452,2002
3.017652004,8046980,2001
3.017652004,8047196,1999
3.017652004,8047268,1999
3.015208211,8047892,1998
3.012764418,8048060,1996
3.012764418,8048084,1996
3.012764418,8048468,1995
3.012764418,8048348,1995
3.010320626,8048876,1994
3.010320626,8049116,1994
3.007876833,8048876,1992
3.007876833,8048852,1992
3.00543304,8049356,1991
3.00543304,8049548,1991
3.002989247,8049668,1989
3.002989247,8050340,1988
3.002989247,8049980,1987
2.998101662,8051132,1986
2.998101662,8052308,1985
2.998101662,8051372,1984
2.995657869,8051924,1983
2.993214076,8052404,1982
2.993214076,8052500,1981
2.993214076,8051948,1980
2.990770284,8052596,1979
2.988326491,8053268,1978
2.990770284,8053796,1977
2.988326491,8054396,1977
2.988326491,8054300,1975
2.985882698,8054012,1973
2.983438905,8054204,1973
2.983438905,8054564,1972
2.983438905,8054996,1971
2.980995113,8054924,1970
2.980995113,8055572,1969
2.97855132,8055692,1968
2.976107527,8056316,1967
2.97855132,8056004,1966
2.973663734,8056316,1965
2.973663734,8056412,1965
2.971219942,8056868,1964
2.967163734,8056940,1963
2.960663734,8057876,1962
2.960663734,8057732,1961
2.959930596,8057396,1960
2.959930596,8057900,1959
2.956753666,8058572,1958
2.956020528,8058932,1957
2.954065494,8058548,1956
2.95528739,8059004,1955
2.951377322,8059556,1954
2.950644184,8059940,1953
2.949911046,8059940,1952
2.949177908,8059964,1951
2.946734116,8061548,1950
2.946000978,8060948,1950
2.944045944,8061692,1948
2.943312806,8061812,1947
2.942090909,8061716,1947
2.941357771,8061932,1946
2.939402737,8061956,1944
2.939891496,8062388,1943
2.935981427,8062532,1943
2.936714565,8062820,1942
2.935981427,8063108,1941
2.935981427,8063276,1940
2.934515152,8063156,1939
2.931338221,8063372,1938
2.930605083,8063996,1937
2.928650049,8064308,1936
2.927916911,8064836,1936
2.924739981,8065460,1934
2.924739981,8065316,1932
2.922051808,8066132,1932
2.921318671,8066036,1930
2.920585533,8066588,1928
2.918630499,8066660,1928
2.916675464,8066708,1927
2.916675464,8066972,1926
2.91472043,8067428,1924
2.915209189,8067548,1924
2.91129912,8067788,1923
2.91129912,8068220,1921
2.910565983,8067596,1920
2.909344086,8067716,1920
2.908610949,8068340,1919
2.905434018,8068676,1918
2.906655914,8068436,1917
2.903967742,8069036,1916
2.903478983,8068484,1915
2.90127957,8069060,1914
2.900057674,8069444,1913
2.899324536,8070020,1912
2.899324536,8070404,1911
2.897369502,8069876,1910
2.897369502,8070452,1909
2.89468133,8070740,1909
2.893948192,8071124,1908
2.891993158,8072060,1907
2.891993158,8071892,1906
2.89126002,8071748,1905
2.89126002,8071316,1905
2.889304986,8071964,1904
2.888083089,8073236,1903
2.887349951,8072348,1902
2.887349951,8071604,1901
2.885394917,8072708,1901
2.883439883,8072276,1900
2.883439883,8072516,1899
2.883928641,8072084,1899
2.883928641,8072228,1898
2.881973607,8072660,1898
2.880018573,8073044,1897
2.880018573,8073356,1897
2.879529814,8073332,1896
2.878063539,8073764,1895
2.878063539,8073836,1894
2.876108505,8074028,1894
2.876597263,8074436,1893
2.872687195,8074412,1892
2.871465299,8074724,1890
2.869510264,8075324,1890
2.869999023,8075036,1889
2.868777126,8075540,1887
2.868043988,8076332,1887
2.864867058,8075924,1887
2.865355816,8075900,1886
2.864622679,8076020,1885
2.863400782,8076188,1884
2.863400782,8076572,1884
2.862667644,8076452,1883
2.861934506,8076212,1883
2.86071261,8076380,1882
2.859979472,8077196,1881
2.858024438,8077292,1880
2.858024438,8077964,1879
2.856069404,8077652,1879
2.855336266,8078012,1878
2.854603128,8078300,1876
2.851426198,8077700,1875
2.851426198,8078708,1875
2.849959922,8078588,1874
2.849959922,8078900,1873
2.848738025,8079020,1872
2.846782992,8079380,1872
2.84727175,8078996,1870
2.84727175,8079452,1869
2.843361681,8079284,1868
2.842628544,8079668,1867
2.842628544,8079836,1867
2.84067351,8079572,1866
2.838718475,8079356,1864
2.837985337,8080004,1864
2.837985337,8080076,1862
2.8372522,8081348,1861
2.832608993,8081684,1860
2.832608993,8080940,1859
2.829432063,8080892,1857
2.827477028,8081276,1856
2.826743891,8081276,1854
2.823322581,8082116,1853
2.823322581,8082572,1853
2.821367547,8081804,1850
2.820634409,8082716,1849
2.819412512,8082644,1848
2.818679375,8083388,1847
2.815991203,8083772,1845
2.814036168,8084180,1845
2.812569892,8084132,1843
2.812569892,8084660,1842
2.811836755,8084900,1841
2.809392962,8085356,1841
2.808659824,8085020,1840
2.807926686,8085356,1838
2.804749756,8085980,1838
2.80328348,8086148,1837
2.802550342,8086076,1835
2.801328446,8086340,1834
2.801328446,8086340,1834
2.797418378,8086580,1832
2.798640274,8087132,1831
2.79668524,8087084,1830
2.793997067,8086844,1829
2.79326393,8087852,1828
2.792530792,8088020,1827
2.791308896,8088284,1826
2.790086999,8087276,1826
2.791308896,8087444,1825
2.790086999,8087540,1824
2.788620723,8087252,1823
2.788620723,8087972,1823
2.788620723,8088020,1823
2.783977517,8088140,1822
2.784710655,8088116,1821
2.783244379,8088140,1819
2.781778104,8088764,1819
2.781289345,8089172,1818
2.779334311,8089124,1816
2.778601173,8088956,1815
2.777868035,8088764,1815
2.775913001,8089076,1814
2.773957967,8089724,1813
2.772002933,8089508,1811
2.770781036,8089676,1810
2.770047898,8090348,1808
2.769314761,8090108,1808
2.766626589,8090852,1807
2.765893451,8090468,1806
2.763938417,8090540,1804
2.763205279,8091092,1804
2.761983383,8091668,1803
2.75929521,8091596,1801
2.75929521,8091716,1800
2.75929521,8091620,1800
2.756607039,8091860,1799
2.757828935,8091860,1798
2.753918866,8092484,1797
2.753918866,8092412,1797
2.753918866,8092676,1796
2.751230694,8092268,1796
2.750741936,8092604,1794
