Volatge (V),Frequency (Hz),current (uA)
2.247272728,1011860,249.24
2.244340176,1011884,248.97
2.244340176,1011932,248.69
2.241407625,1011860,248.49
2.241407625,1011980,248.34
2.238475074,1012028,248.08
2.235542522,1011956,247.83
2.234076246,1012028,247.56
2.231143695,1012076,247.33
2.231143695,1012124,247.11
2.228211144,1012124,246.93
2.226744868,1012172,246.72
2.225278592,1012196,246.5
2.223812317,1012220,246.31
2.222346041,1012292,246.12
2.21941349,1012292,245.94
2.21941349,1012364,245.71
2.217947214,1012292,245.5
2.216480938,1012340,245.27
2.212082112,1012412,244.94
2.210615836,1012388,244.74
2.20914956,1012460,244.51
2.207683284,1012484,244.32
2.204750733,1012532,244.03
2.203284458,1012652,243.84
2.201818182,1012652,243.66
2.200351907,1012652,243.43
2.197419355,1012628,243.19
2.197419355,1012724,243.03
2.195953079,1012796,242.82
2.194486804,1012844,242.75
2.193020528,1012892,242.57
2.191554253,1012988,242.21
2.190087977,1013012,242.05
2.187155425,1012892,241.86
2.18568915,1013036,241.55
2.182756599,1013084,241.3
2.182756599,1013156,241.13
2.179824047,1013204,240.95
2.178357771,1013180,240.81
2.178357771,1013300,240.66
2.17542522,1013348,240.38
2.173958945,1013348,240.18
2.172492669,1013420,239.98
2.171026393,1013516,239.77
2.166627566,1013540,239.5
2.165161291,1013660,239.25
2.163695015,1013708,238.96
2.160762463,1013732,238.76
2.159296188,1013828,238.58
2.157829912,1013948,238.36
2.154897361,1013972,238.13
2.151964809,1014044,237.83
2.151964809,1014140,237.53
2.150498534,1014164,237.38
2.149032258,1014236,237.15
2.146099707,1014332,236.86
2.144633431,1014380,236.77
2.14170088,1014428,236.5
2.138768329,1014476,236.18
2.137302053,1014572,235.98
2.135835777,1014668,235.62
2.132903226,1014740,235.22
2.132903226,1014812,235.03
2.129970675,1014836,234.92
2.128504399,1014980,234.64
2.125571848,1015028,234.4
2.124105572,1015100,234.24
2.119706745,1015172,234.06
2.119706745,1015268,233.69
2.119706745,1015364,233.38
2.116774194,1015388,233.26
2.116774194,1015412,233.27
2.113841642,1015484,233.05
2.112375367,1015628,232.8
2.110909091,1015700,232.58
2.10797654,1015748,232.3
2.106510264,1015844,232.06
2.103577713,1015844,231.81
2.102111437,1016060,231.6
2.100645162,1016084,231.43
2.099178886,1016132,231.26
2.096246334,1016204,231.03
2.096246334,1016276,230.83
2.093313783,1016396,230.57
2.090381232,1016444,230.35
2.088914956,1016564,230.11
2.08744868,1016612,229.97
2.084516129,1016780,229.78
2.083049854,1016780,229.53
2.081583578,1016876,229.36
2.081583578,1016828,229.17
2.078651026,1016924,229.01
2.077184751,1017020,228.8
2.077184751,1017044,228.65
2.072785924,1017092,228.45
2.071319648,1017164,228.12
2.071319648,1017284,227.99
2.068387097,1017236,227.83
2.066920821,1017332,227.56
2.06398827,1017404,227.31
2.061055718,1017500,227.1
2.059589443,1017524,226.74
2.059589443,1017548,226.62
2.058123167,1017572,226.57
2.056656892,1017668,226.39
2.055190616,1017788,226.16
2.053724341,1017836,225.95
2.052258065,1017932,225.76
2.049325513,1017932,225.55
2.049325513,1017980,225.38
2.047859238,1017980,225.24
2.044926687,1018052,225.04
2.043460411,1018148,224.83
2.041994135,1018100,224.65
2.040527859,1018100,224.38
2.039061584,1018148,224.21
2.036129033,1018268,223.98
2.034662757,1018244,223.73
2.034662757,1018268,223.57
2.033196481,1018340,223.42
2.031730205,1018364,223.31
2.028797654,1018460,223.13
2.028797654,1018460,222.94
2.025865103,1018460,222.85
2.025865103,1018676,222.68
2.024398827,1018652,222.6
2.022932551,1018700,222.46
2.021466276,1018676,222.22
2.02,1018604,222.08
2.018533725,1018676,221.95
2.017067449,1018700,221.67
2.017067449,1018724,221.47
2.014134897,1018772,221.35
2.012668622,1018772,221.19
2.011202346,1018748,220.99
2.011202346,1018796,220.93
2.009736071,1018844,220.79
2.008269795,1018916,220.61
2.006803519,1018964,220.43
2.003870968,1019036,220.22
2.002404692,1019084,219.94
2.002404692,1019084,219.7
1.999472141,1019108,219.6
1.996539589,1019132,219.37
1.995073314,1019204,219.13
