Voltage (V),Frequency (Hz),Current (uA)
2.592628544,12126924,2445
2.591895406,12127268,2443
2.591895406,12127568,2441
2.585639785,12127904,2440
2.577184751,12128276,2438
2.575718475,12128664,2436
2.579774683,12128968,2434
2.572785924,12129376,2432
2.569853373,12129928,2431
2.568387097,12130056,2429
2.579041545,12130432,2429
2.577575269,12130952,2428
2.566920821,12131208,2426
2.56398827,12131560,2424
2.562521994,12132032,2422
2.571710166,12132512,2420
2.570243891,12132776,2418
2.556656892,12133356,2415
2.55372434,12133960,2413
2.55372434,12134312,2411
2.552258065,12134924,2410
2.550791789,12135376,2409
2.547859238,12135892,2407
2.547859238,12136452,2405
2.544926686,12136808,2402
2.544926686,12137240,2400
2.541994135,12137800,2398
2.54052786,12138240,2396
2.537595308,12138532,2394
2.552648583,12139064,2392
2.533196481,12139492,2390
2.550449169,12139936,2389
2.53026393,12140368,2387
2.528797654,12140844,2385
2.527331378,12141472,2383
2.543850929,12141792,2380
2.522932552,12142384,2378
2.541651516,12143008,2376
2.52,12143392,2374
2.539452102,12143952,2373
2.512668622,12144304,2370
2.512668622,12144748,2368
2.512668622,12145232,2366
2.508269795,12145436,2363
2.506803519,12145816,2361
2.506803519,12146320,2359
2.503870968,12146572,2357
2.500938416,12146900,2354
2.499472141,12147364,2353
2.498005865,12147660,2351
2.498005865,12148068,2350
2.49653959,12148392,2349
2.492140762,12148716,2347
2.492140762,12149160,2346
2.490674487,12149396,2343
2.517457967,12149704,2341
2.48627566,12150036,2338
2.484809385,12150264,2337
2.513792278,12150508,2334
2.480410557,12150620,2333
2.478944282,12150808,2330
2.477478006,12151040,2329
2.476011731,12151084,2326
2.474545455,12151236,2325
2.473079179,12151484,2323
2.468680352,12151564,2321
2.468680352,12151708,2319
2.502062073,12151916,2318
2.467214077,12152036,2316
2.498396383,12152208,2314
2.498396383,12152332,2312
2.462815249,12152448,2310
2.459882698,12152608,2310
2.458416423,12152672,2308
2.458416423,12152736,2307
2.455483871,12152808,2305
2.454017595,12152820,2303
2.454017595,12152820,2302
2.451085044,12152820,2300
2.451085044,12152820,2300
2.488865592,12152800,2300
2.488865592,12152796,2300
2.45255132,12152792,2300
2.451085044,12152764,2300
2.451085044,12152756,2301
2.488865592,12152752,2300
2.451085044,12152736,2301
2.451085044,12152732,2300
2.449618769,12152732,2300
